timestamp,block_id,phase_label,l_abd,l_flex,l_er,r_abd,r_flex,r_er
1761183256.41973,4,flex_down,162.00044436242973,-68.74965752724285,16.8367552299199,-179.4016785442003,-76.18412898819685,0.0
1761183256.54176,4,flex_down,161.79040498476095,-68.82651606715336,0.0,-179.68140533866543,-75.73324665727613,0.0
1761183256.675926,4,flex_down,161.69266275489807,-68.85934542878118,0.0,-179.73114383584888,-75.91823083006177,0.0
1761183256.814164,4,flex_down,160.86647511858664,-68.91159032621978,0.0,179.39721360389098,-75.69681932629416,0.0
1761183256.9443688,4,flex_down,161.2619586612387,-68.66678863644474,0.0,179.59626309570265,-75.85922230787055,0.0
1761183257.075231,4,flex_down,161.00521469935418,-68.57328287372073,0.0,179.26617119199793,-75.93275144681354,-101.54099471824321
1761183257.214477,4,flex_down,160.83453856541422,-68.3878574040668,0.0,178.97934655156726,-75.9724087666867,0.0
1761183257.34319,4,flex_down,161.06036834925956,-68.39868332480853,0.0,179.3256556361044,-75.96878751678321,-108.9838227142598
1761183257.479529,4,flex_down,161.69691020504146,-68.59019395839766,0.0,-179.71646280987588,-76.48292586548905,-149.10029349890627
1761183257.614184,4,flex_down,161.17881412960983,-68.56137741193248,16.568138519793415,179.9325399960987,-76.95257812823874,0.0
1761183257.7441971,4,flex_down,159.3728565585881,-68.5569261176269,16.415113792465313,178.21207056687362,-76.92190650300915,0.0
1761183257.874687,4,flex_down,159.79552290042417,-68.49076142095599,16.38272196424253,178.57965120715588,-76.91846456491987,0.0
1761183258.020728,4,flex_down,160.63849723184256,-68.43469508193583,16.370815535245345,179.18753045087112,-76.09024772672144,0.0
1761183258.1444108,4,flex_down,160.71998150886935,-68.42468404279937,0.0,179.27452955895254,-76.09078528182219,0.0
1761183258.275636,4,flex_down,160.16923340233578,-68.25346658903361,0.0,178.74636256608488,-76.71621524260402,0.0
1761183258.4281678,4,flex_down,161.58605993927156,-67.81448404253644,0.0,179.69092707190677,-76.40440778394212,0.0
1761183258.5420742,4,flex_down,162.10294431905874,-67.79518458306774,0.0,179.96936530683914,-75.27142676576294,0.0
1761183258.6786828,4,flex_down,162.8039859682658,-67.84400479353373,0.0,-179.48981932498353,-74.49704182936823,0.0
1761183258.817377,4,flex_down,162.39830497055664,-67.66977832261512,0.0,179.8678648968586,-74.47310322571171,0.0
1761183258.948252,4,flex_down,162.3965785504353,-67.7408076642877,0.0,179.79316787294198,-74.65403575132868,0.0
1761183259.075874,4,flex_down,162.49110400477576,-68.23841842925665,0.0,-179.93651376000204,-74.58110861355682,-16.994191328207872
1761183259.213902,4,flex_down,162.59495222764323,-68.0121425389873,0.0,179.99928205108958,-75.37371107797418,-35.802279073988664
1761183259.3438652,4,flex_down,162.86693973204657,-67.95980180090746,17.6545126569013,-179.82020402353746,-75.3724297211725,0.0
1761183259.477077,4,flex_down,162.591495374968,-68.09168509839584,0.0,179.99980936836607,-75.37226729677143,-35.34624830039598
1761183259.615571,4,flex_down,162.4863467484075,-67.89707437964097,0.0,179.73181590840048,-75.6201416720577,0.0
1761183259.744029,4,flex_down,161.40652276305235,-67.94286623620305,0.0,178.7376716390886,-75.53756086530308,0.0
1761183259.874105,4,flex_down,160.67564395380444,-68.37388058569225,17.818471004263504,178.41193317174108,-75.17069005901007,0.0
1761183260.01971,4,flex_down,160.44282896535262,-68.50769963869627,-163.05030297570514,178.4376919526325,-75.57875985422609,0.0
1761183260.14157,4,flex_down,159.51344259176938,-69.03642612862606,0.0,178.37011580337284,-76.55680378327337,-157.3340114703618
1761183260.328026,4,flex_down,160.12348061656124,-68.90795085610964,17.267773333249245,179.05784223960268,-76.6751348916118,-160.32455161098375
1761183260.441076,4,flex_down,160.54183601900823,-68.75437632970505,17.14913290902139,179.30466173097992,-76.42793415691438,-152.42461718344876
1761183260.57854,4,flex_down,161.28881784801706,-68.80411720864033,17.166613641435184,179.99552523017246,-75.90350728305879,0.0
1761183260.711463,4,flex_down,161.3007184715346,-68.19167523896732,0.0,179.51518831206343,-75.92080596396917,0.0
