frame,time,joint,x_deg,y_deg,z_deg,root_tx,root_ty,root_tz
3,0.099999,mixamorig:RightHandMiddle2,4.121022,-6.349614,65.937861,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandMiddle3,1.115598,-3.782565,32.854573,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandMiddle4,-0.0,0.0,0.0,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandRing1,6.036405,-6.888417,82.440964,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandRing2,4.121024,-6.349616,65.937861,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandRing3,1.115598,-3.782566,32.854573,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandRing4,-1e-06,4e-06,3e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandPinky1,6.036403,-6.888423,82.440971,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandPinky2,4.121028,-6.349618,65.937861,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandPinky3,1.115592,-3.782566,32.8546,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightHandPinky4,1e-06,2e-06,5e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftShoulder,1.243423,0.023321,-10.62231,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftArm,-32.603368,-41.096552,-49.092446,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftForeArm,-3.2e-05,-82.049457,-6e-05,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHand,-1.080577,0.091276,27.347545,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandThumb1,18.241731,-23.305285,-17.628945,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandThumb2,53.671609,63.248453,-40.439528,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandThumb3,10.741892,32.760811,-5.296234,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandThumb4,1e-06,1e-06,-2e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandIndex1,6.090341,6.835964,-83.384725,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandIndex2,5.53532,6.749092,-78.694557,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandIndex3,1.552532,4.360278,-39.183941,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandIndex4,3e-06,-0.0,1e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandMiddle1,6.088413,6.835749,-83.36851,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandMiddle2,5.537222,6.749459,-78.710772,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandMiddle3,1.552541,4.360283,-39.183924,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandMiddle4,-1e-06,2e-06,1e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandRing1,6.090342,6.835962,-83.384725,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandRing2,5.53532,6.74909,-78.694557,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandRing3,1.552533,4.360281,-39.183938,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandRing4,0.0,-4e-06,3e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandPinky1,10.148462,7.303608,-83.373981,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandPinky2,5.544911,2.664451,-78.811354,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandPinky3,1.552528,4.360282,-39.183941,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:LeftHandPinky4,1e-06,-1e-06,1e-06,-0.501913,64.068558,1.322866
3,0.099999,mixamorig:RightUpLeg,-69.983976,-3.989765,-3.320497,-0.501913,64.068558,1.322866
